Module                  Size  Used by
snd_acp_config         24576  10 snd_rn_pci_acp3x,snd_sof_amd_acp70,snd_pci_acp6x,snd_pci_acp5x,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_acp_pci,snd_pci_ps,snd_sof_amd_renoir
snd_hda_scodec_cs35l56_i2c    12288  0
snd_soc_acpi           16384  3 snd_sof_amd_acp,snd_acp_config,snd_pci_ps
k10temp                16384  0
snd_hda_scodec_cs35l56    36864  2 snd_hda_scodec_cs35l56_i2c,snd_hda_scodec_cs35l56_spi
i2c_piix4              40960  0
snd_hda_cirrus_scodec    16384  1 snd_hda_scodec_cs35l56
i2c_smbus              20480  1 i2c_piix4
snd_pci_acp3x          20480  0
snd_pcm               200704  14 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_hda_intel,snd_hda_codec,snd_sof,snd_compress,snd_soc_core,snd_sof_utils,soundwire_amd,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
snd_soc_cs35l56_shared    40960  3 snd_hda_scodec_cs35l56_i2c,snd_hda_scodec_cs35l56,snd_hda_scodec_cs35l56_spi
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
amd_pmf                90112  0
snd_soc_cs_amp_lib     16384  2 snd_soc_cs35l56_shared,snd_hda_scodec_cs35l56
cs_dsp                 90112  2 snd_hda_scodec_cs35l56,snd_soc_cs_amp_lib
amdtee                 40960  0
snd                   167936  31 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_hda_scodec_cs35l56,snd_pcm
amd_sfh                69632  1 amd_pmf
soundcore              16384  1 snd
tee                    49152  2 amd_pmf,amdtee
serial_multi_instantiate    16384  0
amd_pmc                57344  0
joydev                 36864  0
i2c_dev                28672  0
loop                   45056  14
nfnetlink              24576  7 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
zram                   69632  1
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
amdgpu              19996672  61
amdxcp                 12288  1 amdgpu
i2c_algo_bit           20480  1 amdgpu
drm_ttm_helper         16384  2 amdgpu,nvidia_drm
ttm                   114688  2 amdgpu,drm_ttm_helper
drm_exec               12288  1 amdgpu
gpu_sched              65536  1 amdgpu
drm_suballoc_helper    16384  1 amdgpu
drm_panel_backlight_quirks    12288  1 amdgpu
drm_buddy              28672  1 amdgpu
hid_asus               40960  0
drm_display_helper    303104  1 amdgpu
asus_wmi              122880  2 asus_nb_wmi,hid_asus
sparse_keymap          12288  1 asus_wmi
platform_profile       12288  2 amd_pmf,asus_wmi
rfkill                 40960  8 asus_wmi,bluetooth,cfg80211
cec                    98304  1 drm_display_helper
nvme                   77824  3
rtsx_pci_sdmmc         40960  0
crct10dif_pclmul       12288  1
mmc_core              307200  1 rtsx_pci_sdmmc
crc32_pclmul           12288  0
crc32c_intel           12288  3
nvme_core             266240  4 nvme
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
hid_multitouch         36864  0
ucsi_acpi              12288  0
sha512_ssse3           53248  0
typec_ucsi             77824  1 ucsi_acpi
sha256_ssse3           36864  0
sha1_ssse3             32768  0
rtsx_pci              147456  1 rtsx_pci_sdmmc
sp5100_tco             20480  0
typec                 122880  1 typec_ucsi
nvme_auth              28672  1 nvme_core
video                  81920  5 nvidia_wmi_ec_backlight,asus_wmi,amdgpu,asus_nb_wmi,nvidia_modeset
i2c_hid_acpi           12288  0
wmi                    32768  4 video,nvidia_wmi_ec_backlight,asus_wmi,wmi_bmof
i2c_hid                49152  1 i2c_hid_acpi
fuse                  258048  7
